Županije;County of;Towns/municipalities";Total: 2011;Men;Women;0-14;15+;Children 0-14;Employed;Unemployed;Inactive;Unknown;Children 0-14;Basic school and less;Secondary education;Higher education;Unknown;Total:2021;Men:2021;Women:2021;0-14:2021;15+:2021
Krapinsko-zagorska;Krapina-Zagorje;Desinić;2.933;1.453;1.480;371;2.562;371;842;162;1.558;-;371;1.415;1.019;108;20;2.530;1.292;1.238;273;2.257
Krapinsko-zagorska;Krapina-Zagorje;Donja Stubica;5.680;2.811;2.869;955;4.725;955;2.028;313;2.383;1;955;1.812;2.436;476;1;5.326;2.626;2.700;810;4.516
Krapinsko-zagorska;Krapina-Zagorje;Đurmanec;4.235;2.121;2.114;655;3.580;655;1.538;233;1.809;-;655;1.494;1.853;233;-;3.781;1.913;1.868;504;3.277
Krapinsko-zagorska;Krapina-Zagorje;Gornja Stubica;5.284;2.621;2.663;908;4.376;908;1.846;299;2.231;-;908;2.106;2.015;253;2;4.622;2.312;2.310;678;3.944
Krapinsko-zagorska;Krapina-Zagorje;Hrašćina;1.617;777;840;240;1.377;240;538;86;753;-;240;653;643;81;-;1.388;654;734;190;1.198
Krapinsko-zagorska;Krapina-Zagorje;Hum na Sutli;5.060;2.448;2.612;727;4.333;727;1.973;179;2.181;-;727;1.731;2.256;346;-;4.592;2.218;2.374;638;3.954
Krapinsko-zagorska;Krapina-Zagorje;Jesenje;1.560;770;790;232;1.328;232;532;82;714;-;232;601;638;89;-;1.371;665;706;184;1.187
Krapinsko-zagorska;Krapina-Zagorje;Klanjec;2.915;1.436;1.479;440;2.475;440;1.402;134;939;-;440;1.065;1.209;198;3;2.548;1.243;1.305;349;2.199
Krapinsko-zagorska;Krapina-Zagorje;Konjščina;3.790;1.805;1.985;577;3.213;577;1.381;170;1.662;-;577;1.104;1.773;336;-;3.308;1.597;1.711;450;2.858
Krapinsko-zagorska;Krapina-Zagorje;Kraljevec na Sutli;1.727;874;853;271;1.456;271;931;67;458;-;271;709;680;67;-;1.591;794;797;203;1.388
Krapinsko-zagorska;Krapina-Zagorje;Krapina;12.480;5.973;6.507;1.901;10.579;1.901;4.731;586;5.261;1;1.901;3.244;5.813;1.520;2;11.530;5.507;6.023;1.553;9.977
Krapinsko-zagorska;Krapina-Zagorje;Krapinske Toplice;5.367;2.606;2.761;750;4.617;750;2.036;307;2.274;-;750;1.793;2.291;533;-;4.827;2.329;2.498;594;4.233
